,name,genres,publisher,developer,price
1510,Uplink,"['Indie', 'Strategy']",Introversion Software,Introversion Software,9.99
1520,DEFCON,"['Indie', 'Strategy']",Introversion Software,Introversion Software,9.99
1530,Multiwinia,['Indie'],Introversion Software,Introversion Software,9.99
1600,Dangerous Waters,['Strategy'],Sonalysts,Strategy First,14.99
1610,Space Empires IV Deluxe,['Strategy'],Malfador Machinations,Strategy First,9.99
1620,Jagged Alliance 2 Gold,['Strategy'],Strategy First,Strategy First,19.99
1630,Disciples II: Rise of the Elves,['Strategy'],Strategy First,Strategy First,6.99
1640,Disciples II: Gallean's Return,['Strategy'],Strategy First,Strategy First,6.99
1670,Iron Warriors: T - 72 Tank Command,['Strategy'],Strategy First,Strategy First,4.99
1690,Space Empires V,['Strategy'],Malfador Machinations,Strategy First,14.99
1700,Arx Fatalis,['RPG'],Arkane Studios,Arkane Studios,4.99
1840,Source Filmmaker,"['Animation &amp; Modeling', 'Video Production']",Valve,Valve,0.0
1900,Earth 2160,['Strategy'],Reality Pump Studios,"Topware Interactive, ACE",4.99
1930,Two Worlds Epic Edition,['RPG'],Reality Pump Studios,Topware Interactive,9.99
2100,Dark Messiah of Might &amp; Magic,"['Action', 'RPG']",Arkane Studios,Ubisoft,9.99
2200,Quake III Arena,['Action'],id Software,id Software,14.99
2210,Quake IV,['Action'],RavenSoft / id Software,Bethesda Softworks,14.99
2270,Wolfenstein 3D,['Action'],id Software,id Software,4.99
2280,Ultimate Doom,['Action'],id Software,id Software,4.99
2290,Final DOOM,['Action'],id Software,id Software,4.99
2300,DOOM II,['Action'],id Software,id Software,4.99
2310,QUAKE,['Action'],id Software,id Software,4.99
2320,QUAKE II,['Action'],id Software,id Software,4.99
2330,QUAKE II Mission Pack: The Reckoning,['Action'],Xatrix Entertainment,id Software,2.99
2340,QUAKE II Mission Pack: Ground Zero,['Action'],Rogue Entertainment,id Software,2.99
2350,QUAKE III: Team Arena,['Action'],id Software,id Software,14.99
2360,HeXen: Beyond Heretic,['Action'],Raven Software,id Software,4.99
2370,HeXen: Deathkings of the Dark Citadel,['Action'],Raven Software,id Software,4.99
2390,Heretic: Shadow of the Serpent Riders,['Action'],Raven Software,id Software,4.99
2400,The Ship: Murder Party,"['Action', 'Indie', 'RPG']",Outerlight Ltd.,Blazing Griffin Ltd.,9.99
2420,The Ship: Single Player,"['Action', 'Indie', 'RPG']",Outerlight Ltd.,Blazing Griffin Ltd.,9.99
2450,Bloody Good Time,['Action'],Outerlight Ltd.,Ubisoft,4.99
2500,Shadowgrounds,['Action'],Frozenbyte,Frozenbyte,6.99
2520,Gumboy - Crazy Adventures™,"['Casual', 'Indie']","CINEMAX, s.r.o.","CINEMAX, s.r.o.",4.99
2540,RIP - Trilogy™,"['Casual', 'Indie']",Elephant Games,0,4.99
2570,Vigil: Blood Bitterness™,"['Indie', 'RPG']",Freegamer,0,0.0
2590,Alpha Prime,['Action'],Black Element,Bohemia Interactive,4.99
2600,Vampire: The Masquerade - Bloodlines,['Action'],Troika Games,Activision,19.99
2610,GUN™,['Action'],Neversoft,Activision,19.99
2620,Call of Duty®,['Action'],Infinity Ward,Activision,19.99
2630,Call of Duty® 2,['Action'],"Infinity Ward,Aspyr (Mac)","Activision, Aspyr (Mac)",19.99
2640,Call of Duty: United Offensive,['Action'],Gray Matter Studios,Activision,19.99
2700,RollerCoaster Tycoon® 3: Platinum,"['Simulation', 'Strategy']","Frontier,Aspyr (Mac)","Atari, Aspyr (Mac)",19.99
2710,Act of War: Direct Action,['Action'],Eugen Systems,Atari,2.99
2720,ThreadSpace: Hyperbol,"['Action', 'Indie', 'Strategy']",Iocaine Studios,Atari,9.99
2780,ARMA: Combat Operations,['Action'],Bohemia Interactive,Bohemia Interactive,7.99
2800,X2: The Threat,['Strategy'],Egosoft,Egosoft,4.99
2810,X3: Reunion,['Strategy'],Egosoft,Egosoft,9.99
2820,X3: Terran Conflict,"['Action', 'Simulation', 'Strategy']",Egosoft,Egosoft,15.99
2840,X: Beyond the Frontier,"['Simulation', 'Strategy']",Egosoft,Egosoft,4.99
2850,X: Tension,"['Simulation', 'Strategy']",Egosoft,Egosoft,4.99
2870,X Rebirth,"['Action', 'Simulation']",Egosoft,Egosoft,29.99
2900,688(I) Hunter/Killer,['Strategy'],Sonalysts,Strategy First,9.99
2910,Fleet Command,['Strategy'],Sonalysts,Strategy First,9.99
2920,Sub Command,['Strategy'],Sonalysts,Strategy First,9.99
2990,FlatOut 2™,['Racing'],Bugbear Entertainment,Strategy First,9.99
3010,Xpand Rally,['Racing'],Techland,Techland,4.99
3020,Call of Juarez™,['Action'],Techland,Techland,9.99
3050,Xpand Rally Xtreme,['Racing'],Techland,Techland,4.99
3130,Men of War: Red Tide,['Strategy'],1C Company,"1C Company, 1C-SoftClub",4.99
3170,King's Bounty: Armored Princess,"['RPG', 'Strategy']",Katauri Interactive,1C Company,9.99
3230,Genesis Rising,['Strategy'],Metamorf,THQ Nordic,4.99
3260,Safecracker: The Ultimate Puzzle Adventure,"['Adventure', 'Casual']",Kheops Studio,THQ Nordic,4.99
3270,Painkiller Overdose,['Action'],Mindware Studios,THQ Nordic,4.99
3300,Bejeweled 2 Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3310,Chuzzle Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3320,Insaniquarium Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3330,Zuma Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3340,AstroPop Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3350,Bejeweled Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3360,Big Money! Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3380,Dynomite Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3390,Feeding Frenzy 2 Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3400,Hammer Heads Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3410,Heavy Weapon Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3420,Iggle Pop Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3430,Pizza Frenzy Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3440,Rocket Mania Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3450,Typer Shark! Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3460,Talismania Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3480,Peggle Deluxe,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3483,Peggle Extreme,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",0.0
3490,Venice Deluxe,['Casual'],"Retro64, Inc.","PopCap Games, Inc.",4.99
3500,Mystery P.I.™ - The Lottery Ticket,['Casual'],SpinTop Games,"PopCap Games, Inc.",4.99
3510,Amazing Adventures The Lost Tomb™,['Casual'],SpinTop Games,"PopCap Games, Inc.",4.99
3520,Mystery P.I.™ - The Vegas Heist,['Casual'],SpinTop Games,"PopCap Games, Inc.",4.99
3530,Amazing Adventures Around the World,['Casual'],SpinTop Games,"PopCap Games, Inc.",4.99
3540,Peggle™ Nights,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3560,Bejeweled Twist,"['Strategy', 'Casual']","PopCap Games, Inc.","PopCap Games, Inc.",4.99
3570,Mystery P.I.™ - The New York Fortune,['Casual'],SpinTop Games,"PopCap Games, Inc.",4.99
3580,The Wizard's Pen™,['Casual'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3590,Plants vs. Zombies GOTY Edition,['Strategy'],"PopCap Games, Inc.","PopCap Games, Inc.",4.99
3600,Escape Rosecliff Island,['Casual'],SpinTop Games,"PopCap Games, Inc.",4.99
3610,Mystery P.I. - Lost in Los Angeles,['Casual'],SpinTop Games,"PopCap Games, Inc.",4.99
3620,Zuma's Revenge!,"['Action', 'Casual']","PopCap Games, Inc.","PopCap Games, Inc.",4.99
3700,Sniper Elite,['Action'],Rebellion,Rebellion,7.99
3710,Judge Dredd: Dredd vs. Death,['Action'],Rebellion,Rebellion,7.99
3720,Evil Genius,['Strategy'],Elixir Studios,Rebellion,9.99
3730,Aliens versus Predator Classic 2000,['Action'],Rebellion,Rebellion,4.99
3800,Advent Rising,['Action'],GlyphX Games,Majesco,9.99
3810,BloodRayne,['Action'],Terminal Reality,Majesco,9.99
3820,BloodRayne 2,['Action'],Terminal Reality,Majesco,9.99
3830,Psychonauts,['Action'],Double Fine Productions,Double Fine Productions,9.99
3838,Psychonauts Original Soundtrack,['Action'],Double Fine Productions,Double Fine Productions,4.99
3839,Psychonauts Original Score,['Action'],Double Fine Productions,Double Fine Productions,4.99
3900,Sid Meier's Civilization® IV,['Strategy'],Firaxis Games,2K Games,19.99
3910,Sid Meier's Civilization® III Complete,['Strategy'],Firaxis Games,2K Games,4.99
3920,Sid Meier's Pirates!,['RPG'],Firaxis Games,2K Games,9.99
3960,Shattered Union,['Strategy'],PopTop,2K Games,4.99
3980,CivCity: Rome,['Strategy'],"FireFly Studios,Firaxis Games",2K Games,9.99
3990,Civilization IV®: Warlords,['Strategy'],Firaxis Games,2K Games,4.99
4000,Garry's Mod,"['Indie', 'Simulation']",Facepunch Studios,Valve,9.99
4100,Poker Superstars II,"['Casual', 'Strategy', 'Indie']",Funkitron,Funkitron,9.99
4230,RACE - The WTCC Game,['Racing'],SimBin,SimBin,39.99
4290,RACE: Caterham Expansion,['Racing'],SimBin,SimBin,4.99
4300,RoboBlitz,"['Action', 'Indie']",Naked Sky Entertainment,Naked Sky Entertainment,9.99
4420,Silverfall,['RPG'],Monte Cristo,Focus Home Interactive,9.99
4460,City Life 2008,"['Simulation', 'Strategy']",Monte Cristo,Focus Home Interactive,9.99
4470,Silverfall: Earth Awakening,['RPG'],Monte Cristo,Focus Home Interactive,9.99
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,"['Action', 'RPG']",GSC Game World,GSC Game World,19.99
4520,Full Spectrum Warrior,"['Action', 'Strategy']",Pandemic Studios,THQ Nordic,9.99
4530,Full Spectrum Warrior: Ten Hammers,"['Action', 'Strategy']",Pandemic Studios,THQ Nordic,9.99
4560,Company of Heroes - Legacy Edition,"['Action', 'Strategy']",Relic Entertainment,SEGA,19.99
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",['Strategy'],Relic Entertainment,SEGA,12.99
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",['Strategy'],Relic Entertainment,SEGA,12.99
4700,Medieval II: Total War™,['Strategy'],"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",19.99
4720,Condemned: Criminal Origins,['Action'],Monolith,SEGA,14.95
4760,Rome: Total War™ - Collection,['Strategy'],The Creative Assembly,SEGA,9.99
4770,Rome: Total War™ - Alexander,['Strategy'],The Creative Assembly,SEGA,4.99
4780,Medieval II: Total War™ Kingdoms,['Strategy'],"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",11.99
4800,Heroes of Annihilated Empires,['Strategy'],GSC Game World,GSC Game World,14.99
4850,Cossacks: Back to War,['Strategy'],GSC Game World,GSC World Publishing,4.99
4856,Cossacks: Campaign Expansion,['Strategy'],GSC Game World,GSC World Publishing,3.99
4870,Cossacks: Art of War,['Strategy'],GSC Game World,GSC World Publishing,4.99
4880,Cossacks: European Wars,['Strategy'],GSC Game World,GSC World Publishing,4.99
4890,Cossacks II: Battle for Europe,['Strategy'],GSC Game World,GSC World Publishing,4.99
4900,Zen of Sudoku,"['Casual', 'Indie']",Unknown Worlds Entertainment,Unknown Worlds Entertainment,0.0
4920,Natural Selection 2,"['Action', 'Indie', 'Strategy']",Unknown Worlds Entertainment,Unknown Worlds Entertainment,9.99
6000,STAR WARS™ Republic Commando™,['Action'],LucasArts,"LucasArts, Lucasfilm, Disney Interactive",9.99
6010,Indiana Jones® and the Fate of Atlantis™,['Adventure'],LucasArts,"LucasArts, Lucasfilm, Disney Interactive",5.99
6020,STAR WARS™ Jedi Knight - Jedi Academy™,['Action'],"Raven Software,Aspyr (Mac)","LucasArts, Aspyr (Mac), Lucasfilm, Disney Interactive",9.99
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,['Action'],"Raven Software,Aspyr (Mac)","LucasArts, Aspyr (Mac), Lucasfilm, Disney Interactive",9.99
6040,The Dig®,['Adventure'],LucasArts,LucasArts,5.99
6060,"Star Wars: Battlefront 2 (Classic, 2005)",['Action'],Pandemic Studios,"Lucasfilm, LucasArts, Disney Interactive",9.99
6080,Thrillville®: Off the Rails™,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Frontier,LucasArts,9.99
6090,Armed and Dangerous®,['Action'],Planet Moon Studios,"LucasArts, Lucasfilm, Disney Interactive",5.99
6120,Shank,"['Action', 'Indie']",Klei Entertainment,Klei Entertainment,9.99
6200,Ghost Master®,['Strategy'],Sick Puppies,Strategy First,4.99
6210,Vegas: Make It Big™,['Strategy'],Deepred,Strategy First,4.99
6220,FlatOut,['Racing'],Bugbear Entertainment,Strategy First,7.49
6250,Making History: The Calm &amp; the Storm,"['Action', 'Strategy']",Muzzy Lane,Strategy First,4.99
6300,Dreamfall: The Longest Journey,"['Adventure', 'RPG']",Funcom,Funcom,19.99
6310,The Longest Journey,"['Action', 'Adventure', 'RPG']",Funcom,Funcom,9.99
6370,Bloodline Champions,"['Action', 'Free to Play', 'Massively Multiplayer']",Stunlock Studios,Stunlock Studios,0.0
6400,Joint Task Force,"['Action', 'Strategy']",Most Wanted Entertainment,HD Publishing,9.99
6420,Nexus - The Jupiter Incident,"['Indie', 'Simulation', 'Strategy']","Mithis Games,THQ Nordic",THQ Nordic,9.99
6510,Lost Planet™: Extreme Condition,"['Action', 'Adventure']","CAPCOM Co., Ltd.",Capcom,14.99
6550,Devil May Cry® 3 Special Edition,['Action'],"CAPCOM Co., Ltd.",Capcom,19.99
6600,Bullet Candy,"['Casual', 'Indie']",R C Knight,0,3.99
6800,Commandos: Behind Enemy Lines,['Action'],Pyro Studios,Merge Games,4.99
6810,Commandos: Beyond the Call of Duty,['Action'],Pyro Studios,Merge Games,4.99
6830,Commandos 2: Men of Courage,['Action'],Pyro Studios,Merge Games,4.99
6840,Commandos 3: Destination Berlin,['Action'],Pyro Studios,Merge Games,4.99
6850,Hitman 2: Silent Assassin,['Action'],Io-Interactive A/S,Io-Interactive A/S,6.99
6860,Hitman: Blood Money,['Action'],Io-Interactive A/S,Io-Interactive A/S,8.99
6870,Battlestations: Midway,['Action'],Eidos Interactive,Square Enix,6.99
6880,Just Cause,['Action'],Avalanche Studios,Square Enix,6.99
6900,Hitman: Codename 47,['Action'],Io-Interactive A/S,Io-Interactive A/S,6.99
6910,Deus Ex: Game of the Year Edition,['Action'],Ion Storm,Square Enix,6.99
6920,Deus Ex: Invisible War,['Action'],Ion Storm,Square Enix,6.99
6980,Thief: Deadly Shadows,['Action'],Ion Storm,Square Enix,8.99
7000,Tomb Raider: Legend,"['Action', 'Adventure']",Crystal Dynamics,Square Enix,6.99
7010,Project: Snowblind,['Action'],Crystal Dynamics,Square Enix,5.99
7020,Rogue Trooper,['Action'],Rebellion,Rebellion,9.99
7110,Jade Empire™: Special Edition,['RPG'],BioWare Corporation,"BioWare Corporation, Electronic Arts",14.99
7200,Trackmania United Forever Star Edition,['Racing'],Nadeo,Ubisoft,29.99
7210,"Runaway, A Road Adventure",['Adventure'],Pendulo Studios,Focus Home Interactive,9.99
7220,"Runaway, The Dream of The Turtle",['Adventure'],Pendulo Studios,Focus Home Interactive,9.99
7260,Loki,['RPG'],Cyanide Studios,Focus Home Interactive,9.99
7340,Azada,"['Casual', 'Indie']",Big Fish Games,Big Fish Games,9.99
7510,X-Blades,"['Action', 'Adventure', 'RPG']",Gaijin Entertainment,Topware Interactive,9.99
7520,Two Worlds II HD,['RPG'],Reality Pump Studios,"Topware Interactive, ACE",19.99
7530,Two Worlds II Castle Defense,['Strategy'],Reality Pump Studios,Topware Interactive,9.99
7600,Sid Meier's Railroads!,['Strategy'],"Firaxis Games,Feral Interactive (Mac)","2K Games, Feral Interactive (Mac)",9.99
7610,Railroad Tycoon 3,['Strategy'],PopTop,2K Games,9.99
7620,Railroad Tycoon II Platinum,['Strategy'],PopTop,2K Games,4.99
7650,X-COM: Terror From the Deep,['Strategy'],"MicroProse Software, Inc",2K Games,4.99
7660,X-COM: Apocalypse,['Strategy'],"MicroProse Software, Inc",2K Games,4.99
7670,BioShock™,"['Action', 'RPG']","2K Boston,2K Australia",2K Games,19.99
7730,X-COM: Interceptor,['Strategy'],"MicroProse Software, Inc",2K Games,4.99
7760,X-COM: UFO Defense,['Strategy'],"MicroProse Software, Inc",2K Games,4.99
7770,X-COM: Enforcer,['Strategy'],"MicroProse Software, Inc",2K Games,4.99
7830,Men of War™,['Strategy'],Best Way,"1C Company, 1C-SoftClub",4.99
7840,Death Track®: Resurrection,['Racing'],Sky Fallen,1C Company,2.99
7860,NecroVision,['Action'],The Farm 51,1C Company,4.99
7940,Call of Duty® 4: Modern Warfare®,['Action'],"Infinity Ward,Aspyr (Mac)","Activision, Aspyr (Mac)",19.99
8000,Tomb Raider: Anniversary,"['Action', 'Adventure']","Crystal Dynamics,Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",8.99
8080,Kane and Lynch: Dead Men™,['Action'],IO Interactive,Square Enix,6.99
8100,Conflict: Denied Ops,['Action'],Pivotal Games,Square Enix,5.99
8140,Tomb Raider: Underworld,"['Action', 'Adventure']",Crystal Dynamics,Square Enix,8.99
8170,Battlestations Pacific,"['Action', 'Strategy']",Eidos Studio Hungary,Square Enix,8.99
8190,Just Cause 2,"['Action', 'Adventure']",Avalanche Studios,Square Enix,14.99
8200,Sam &amp; Max 101: Culture Shock,"['Action', 'Adventure']",Telltale Games,Telltale Games,19.99
8210,Sam &amp; Max 102: Situation: Comedy,"['Action', 'Adventure']",Telltale Games,Telltale Games,19.99
8220,"Sam &amp; Max 103: The Mole, the Mob and the Meatball","['Action', 'Adventure']",Telltale Games,Telltale Games,19.99
8230,Sam &amp; Max 104: Abe Lincoln Must Die!,"['Action', 'Adventure']",Telltale Games,Telltale Games,19.99
8240,Sam &amp; Max 105: Reality 2.0,"['Action', 'Adventure']",Telltale Games,Telltale Games,19.99
8250,Sam &amp; Max 106: Bright Side of the Moon,"['Action', 'Adventure']",Telltale Games,Telltale Games,19.99
8260,Sam &amp; Max 201: Ice Station Santa,['Adventure'],Telltale Games,Telltale Games,19.99
8270,Sam &amp; Max 202: Moai Better Blues,['Adventure'],Telltale Games,Telltale Games,19.99
8280,Sam &amp; Max 203: Night of the Raving Dead,['Adventure'],Telltale Games,Telltale Games,19.99
8290,Sam &amp; Max 204: Chariots of the Dogs,['Adventure'],Telltale Games,Telltale Games,19.99
8300,Sam &amp; Max 205: What&amp;#146;s New Beelzebub?,['Adventure'],Telltale Games,Telltale Games,19.99
8310,Bone: Out From Boneville,['Adventure'],Telltale Games,Telltale Games,9.99
8320,Bone: The Great Cow Race,['Adventure'],Telltale Games,Telltale Games,9.99
8330,Telltale Texas Hold ‘Em,['Casual'],Telltale Games,Telltale Games,2.99
8340,Strong Bad's Cool Game for Attractive People: Season 1,['Adventure'],Telltale Games,Telltale Games,19.99
8400,Geometry Wars: Retro Evolved,['Casual'],Bizarre Creations,Activision,3.99
8500,EVE Online,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']",CCP,CCP,0.0
8600,RACE 07,['Racing'],SimBin,SimBin,3.99
8650,RACE 07: Andy Priaulx Crowne Plaza Raceway (Free DLC),['Racing'],SimBin,SimBin,39.99
8660,GTR Evolution Expansion Pack for RACE 07,['Racing'],SimBin,SimBin,7.99
8690,STCC - The Game 1 - Expansion Pack for RACE 07,['Racing'],SimBin,SimBin,2.99
8780,RACE On,['Racing'],SimBin,SimBin,7.99
8790,GTR 2 FIA GT Racing Game,"['Racing', 'Simulation', 'Sports']",SimBin Studios AB,SimBin,7.99
8800,Civilization IV: Beyond the Sword,['Strategy'],Firaxis Games,2K Games,9.99
8850,BioShock® 2,['Action'],"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)","2K Games, Feral Interactive (Mac)",19.99
8870,BioShock Infinite,['Action'],"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)","2K Games, Aspyr (Mac)",29.99
8880,Freedom Force,"['RPG', 'Strategy']",Irrational Games,2K Games,4.99
8890,Freedom Force vs. the Third Reich,"['RPG', 'Strategy']",Irrational Games,2K Games,4.99
8930,Sid Meier's Civilization® V,['Strategy'],"Firaxis Games,Aspyr (Mac, Linux)","2K Games, Aspyr (Mac, Linux)",29.99
8970,Axel &amp; Pixel,['Indie'],Silver Wish Games,2K Play,4.99
8980,Borderlands,"['Action', 'RPG']",Gearbox Software,2K Games,19.99
8990,Borderlands: The Zombie Island of Dr. Ned,"['Action', 'RPG']",Gearbox Software,2K Games,9.99
9000,Spear of Destiny,['Action'],id Software,id Software,2.99
9010,Return to Castle Wolfenstein,['Action'],Gray Matter Studios,id Software,4.99
9030,QUAKE Mission Pack 2: Dissolution of Eternity,['Action'],Rogue Entertainment,id Software,2.99
9040,QUAKE Mission Pack 1: Scourge of Armagon,['Action'],Ritual Entertainment,id Software,2.99
9050,DOOM 3,['Action'],id Software,id Software,4.99
9060,HeXen II,['Action'],Raven Software,id Software,4.99
9070,DOOM 3 Resurrection of Evil,['Action'],id Software,id Software,2.99
9160,Master Levels for Doom II,['Action'],id Software,id Software,14.99
9180,Commander Keen,['Action'],id Software,id Software,4.99
9200,RAGE,['Action'],id Software,Bethesda Softworks,9.99
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",['Strategy'],Relic Entertainment,SEGA,12.99
9350,Supreme Commander,['Strategy'],Gas Powered Games,THQ Nordic,14.99
9420,Supreme Commander: Forged Alliance,['Strategy'],Gas Powered Games,THQ Nordic,14.99
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",['Strategy'],Relic Entertainment,SEGA,12.99
9460,Frontlines™: Fuel of War™,['Action'],Kaos Studios,THQ Nordic,19.99
9480,Saints Row 2,['Action'],Volition,Deep Silver,9.99
9500,Gish,['Indie'],Cryptic Sea,Chronic Logic,9.99
9710,Desperados 2: Cooper's Revenge,['Action'],Spellbound,THQ Nordic,9.99
9730,Tycoon City: New York,['Simulation'],0,Retroism,9.99
9760,Act of War: High Treason,['Action'],Eugen Systems,Atari,2.99
9800,Death to Spies,"['Action', 'Adventure']",Haggard Games,1C Company,4.99
9850,Codename: Panzers - Cold War,"['Simulation', 'Strategy']","InnoGlow,Stormregion,THQ Nordic",THQ Nordic,14.99
9880,Champions Online,"['Free to Play', 'Massively Multiplayer', 'RPG']",Cryptic Studios,Perfect World Entertainment,0.0
9900,Star Trek Online,"['Free to Play', 'Massively Multiplayer', 'RPG']",Cryptic Studios,Perfect World Entertainment,0.0
9930,Test Drive Unlimited 2,['Racing'],Eden Studios,Atari,19.99
9940,Blade Kitten,"['Action', 'Adventure']",Krome Studios,Krome Studios,2.99
9960,Haunted House™,['Adventure'],ImagineEngline,Atari,5.99
9970,Star Raiders,['Action'],Incinerator Studios,Atari,9.99
9980,The UnderGarden,['Casual'],Artech Studios,Retroism,6.99
9992,Ghostbusters: Sanctum of Slime Challenge Pack DLC,"['Action', 'Adventure']",Behaviour,Atari,1.99
10090,Call of Duty: World at War,['Action'],Treyarch,Activision,19.99
10100,King's Quest™ Collection,['Adventure'],Sierra,Activision,19.99
10110,Space Quest™ Collection,['Adventure'],Sierra,Activision,19.99
10120,Aces of the Galaxy™,"['Action', 'Casual']",Artech Studios,Activision,9.99
10130,TimeShift™,['Action'],Saber Interactive,Activision,19.99
10140,3D Ultra™ Minigolf Adventures,['Sports'],Wanako Games,Activision,9.99
10150,Prototype™,"['Action', 'Adventure']",Radical Entertainment,Activision,19.99
10180,Call of Duty®: Modern Warfare® 2,['Action'],"Infinity Ward,Aspyr (Mac)","Activision, Aspyr (Mac)",19.99
10195,Call of Duty®: Modern Warfare® 2 Stimulus Package,['Action'],"Infinity Ward,Aspyr (Mac)","Activision, Aspyr (Mac)",14.99
10220,Postal III,['Action'],Trashmasters,Akella,11.99
10230,Dead Mountaineer's Hotel,['Adventure'],Electronic Paradise,Akella,7.99
10240,A Stroke of Fate: Operation Valkyrie,['Adventure'],SPLine,Akella,6.99
10250,PT Boats: Knights of the Sea,['Simulation'],Studio4,Akella,6.99
10260,PT Boats: South Gambit,['Simulation'],studio4,Akella,6.99
10270,Disciples III: Reincarnation,"['RPG', 'Strategy']",Akella,bitComposer Games,9.99
